image_id,user,money,order_id,sim_arrival_time,sim_inter_arrival
Screenshot_2026-01-15-13-32-35-147_com.tencent.mm.jpg,aMbZfcaYn,0.14,1,1.2363148316995833,1.2363148316995833
Screenshot_2026-01-15-13-32-35-147_com.tencent.mm.jpg,鲸落,0.15,2,3.0219032464365956,1.785588414737012
Screenshot_2026-01-15-13-32-35-147_com.tencent.mm.jpg,Albert,0.09,3,4.240707208290837,1.218803961854241
Screenshot_2026-01-15-13-32-35-147_com.tencent.mm.jpg,Mp.W,0.03,4,6.058006901512275,1.8172996932214383
Screenshot_2026-01-15-13-32-35-147_com.tencent.mm.jpg,Koala,0.17,5,7.651955737553411,1.5939488360411358
Screenshot_2026-01-15-13-32-35-147_com.tencent.mm.jpg,Taka,0.06,6,8.729180759799517,1.0772250222461057
Screenshot_2026-01-15-13-32-35-147_com.tencent.mm.jpg,正电荷夸克,0.12,7,10.584454144053332,1.8552733842538145
Screenshot_2026-01-15-13-32-35-147_com.tencent.mm.jpg,凡,0.11,8,11.55477525536333,0.970321111309998
Screenshot_2026-01-15-13-32-35-147_com.tencent.mm.jpg,早睡早起,0.02,9,13.261061262779718,1.706286007416388
Screenshot_2026-01-15-13-32-35-147_com.tencent.mm.jpg,刘思远,0.11,10,14.985477152533827,1.724415889754109
Screenshot_2026-01-15-13-32-39-126_com.tencent.mm.jpg,aMbZfcaYn,0.14,1,1.175278172471356,1.175278172471356
Screenshot_2026-01-15-13-32-39-126_com.tencent.mm.jpg,鲸落,0.14,2,2.2453031390178166,1.0700249665464607
Screenshot_2026-01-15-13-32-39-126_com.tencent.mm.jpg,Mp.W,0.13,3,3.297931555877844,1.0526284168600273
Screenshot_2026-01-15-13-32-39-126_com.tencent.mm.jpg,早睡早起,0.06,4,4.687340925510853,1.3894093696330085
Screenshot_2026-01-15-13-32-39-126_com.tencent.mm.jpg,正电荷夸克,0.12,5,5.199415803007432,0.5120748774965794
Screenshot_2026-01-15-13-32-39-126_com.tencent.mm.jpg,Taka,0.01,6,6.125525004929555,0.9261092019221226
Screenshot_2026-01-15-13-32-39-126_com.tencent.mm.jpg,Koala,0.05,7,8.075169287304442,1.9496442823748876
Screenshot_2026-01-15-13-32-39-126_com.tencent.mm.jpg,凡,0.09,8,9.340957287196623,1.2657879998921804
Screenshot_2026-01-15-13-32-39-126_com.tencent.mm.jpg,Albert,0.18,9,10.00521479787695,0.6642575106803268
Screenshot_2026-01-15-13-32-39-126_com.tencent.mm.jpg,刘思远,0.08,10,11.882104685301055,1.8768898874241042
Screenshot_2026-01-15-13-32-44-465_com.tencent.mm.jpg,Albert,0.14,1,0.7220542591701808,0.7220542591701808
Screenshot_2026-01-15-13-32-44-465_com.tencent.mm.jpg,aMbZfcaYn,0.03,2,2.1383128604304567,1.4162586012602758
Screenshot_2026-01-15-13-32-44-465_com.tencent.mm.jpg,鲸落,0.15,3,4.016505766439018,1.8781929060085611
Screenshot_2026-01-15-13-32-44-465_com.tencent.mm.jpg,早睡早起,0.17,4,5.141700995502106,1.1251952290630887
Screenshot_2026-01-15-13-32-44-465_com.tencent.mm.jpg,Mp.W,0.11,5,6.91090377499366,1.7692027794915537
Screenshot_2026-01-15-13-32-44-465_com.tencent.mm.jpg,正电荷夸克,0.06,6,7.6146811170787965,0.7037773420851369
Screenshot_2026-01-15-13-32-44-465_com.tencent.mm.jpg,Koala,0.05,7,8.24889402008261,0.6342129030038124
Screenshot_2026-01-15-13-32-44-465_com.tencent.mm.jpg,凡,0.04,8,9.998834397701755,1.7499403776191453
Screenshot_2026-01-15-13-32-44-465_com.tencent.mm.jpg,Taka,0.02,9,11.901414703413925,1.9025803057121704
Screenshot_2026-01-15-13-32-44-465_com.tencent.mm.jpg,刘思远,0.23,10,13.019390667807183,1.1179759643932583
Screenshot_2026-01-15-13-32-49-453_com.tencent.mm.jpg,鲸落,0.01,1,0.8039120206923205,0.8039120206923205
Screenshot_2026-01-15-13-32-49-453_com.tencent.mm.jpg,正电荷夸克,0.11,2,2.6438343030334597,1.839922282341139
Screenshot_2026-01-15-13-32-49-453_com.tencent.mm.jpg,Albert,0.03,3,4.2317081506119925,1.587873847578533
Screenshot_2026-01-15-13-32-49-453_com.tencent.mm.jpg,aMbZfcaYn,0.07,4,5.240739189446825,1.0090310388348325
Screenshot_2026-01-15-13-32-49-453_com.tencent.mm.jpg,早睡早起,0.22,5,6.5565526089237265,1.3158134194769016
Screenshot_2026-01-15-13-32-49-453_com.tencent.mm.jpg,Taka,0.02,6,7.409825288686132,0.853272679762406
Screenshot_2026-01-15-13-32-49-453_com.tencent.mm.jpg,Mp.W,0.21,7,8.896167601599082,1.4863423129129492
Screenshot_2026-01-15-13-32-49-453_com.tencent.mm.jpg,Koala,0.17,8,10.314671051632754,1.4185034500336724
Screenshot_2026-01-15-13-32-49-453_com.tencent.mm.jpg,刘思远,0.03,9,11.859054583694167,1.5443835320614143
Screenshot_2026-01-15-13-32-49-453_com.tencent.mm.jpg,凡,0.13,10,13.067427055683059,1.2083724719888915
Screenshot_2026-01-15-13-32-53-763_com.tencent.mm.jpg,aMbZfcaYn,0.16,1,1.9390355534173935,1.9390355534173935
Screenshot_2026-01-15-13-32-53-763_com.tencent.mm.jpg,Taka,0.13,2,2.6612407364479465,0.7222051830305527
Screenshot_2026-01-15-13-32-53-763_com.tencent.mm.jpg,鲸落,0.13,3,4.3589015088055145,1.697660772357568
Screenshot_2026-01-15-13-32-53-763_com.tencent.mm.jpg,Albert,0.14,4,5.34076641560583,0.9818649068003158
Screenshot_2026-01-15-13-32-53-763_com.tencent.mm.jpg,早睡早起,0.1,5,6.9205129050474525,1.5797464894416224
Screenshot_2026-01-15-13-32-53-763_com.tencent.mm.jpg,Mp.W,0.06,6,7.55204187452344,0.6315289694759876
Screenshot_2026-01-15-13-32-53-763_com.tencent.mm.jpg,Koala,0.06,7,9.34811636745199,1.79607449292855
Screenshot_2026-01-15-13-32-53-763_com.tencent.mm.jpg,凡,0.02,8,10.958129125017209,1.6100127575652183
Screenshot_2026-01-15-13-32-53-763_com.tencent.mm.jpg,正电荷夸克,0.01,9,11.803557684397248,0.8454285593800391
Screenshot_2026-01-15-13-32-53-763_com.tencent.mm.jpg,刘思远,0.19,10,12.514429846728927,0.7108721623316787
Screenshot_2026-01-15-13-32-57-634_com.tencent.mm.jpg,Albert,0.08,1,1.5610626825776999,1.5610626825776999
